"","x"
"885",10954
"886",10955
"887",10956
"888",10957
"889",10958
"890",10959
"891",1096
"892",10960
"893",10961
"894",10962
"895",10964
"896",10965
"897",10966
"898",10967
"899",10968
"900",10969
"901",1097
"902",10970
"903",10971
"904",10972
"905",10973
"906",10974
"907",10975
"908",10976
"909",10977
"910",10978
"911",10979
"912",1098
"913",10980
"914",10981
"915",10982
"916",10984
"917",10985
"918",10986
"919",10988
"920",10989
"921",1099
"922",10990
"923",10991
"924",10992
"925",10993
"926",10994
"927",10995
"928",10997
"929",11
"930",110
"931",1100
"932",11000
"933",11002
"934",11007
"935",11008
"936",11009
"937",1101
"938",11010
"939",11011
"940",11012
"941",11013
"942",11014
"943",11015
"944",11016
"945",11017
"946",11018
"947",11019
"948",1102
"949",11020
"950",11021
"951",11022
"952",11023
"953",11024
"954",11025
"955",11026
"956",11027
"957",11028
"958",11029
"959",1103
"960",11030
"961",11031
"962",11032
"963",11033
"964",11034
"965",11035
"966",11036
"967",11037
"968",11038
"969",11039
"970",1104
"971",11040
"972",11041
"973",11042
"974",11043
"975",11044
"976",11045
"977",11046
"978",11047
"979",11048
"980",11049
"981",1105
"982",11050
"983",11051
"984",11052
"985",11053
"986",11054
"987",11055
"988",11056
"989",11057
"990",11058
"991",11059
"992",1106
"993",11060
"994",11061
"995",11062
"996",11063
"997",11064
"998",11065
"999",11066
"1000",11067
"1001",11068
"1002",11069
"1003",1107
"1004",11070
"1005",11071
"1006",11072
"1007",11073
"1008",11074
"1009",11075
"1010",11076
"1011",11077
"1012",11078
"1013",11079
"1014",1108
"1015",11080
"1016",11081
"1017",11082
"1018",11083
"1019",11084
"1020",11085
"1021",11086
"1022",11087
"1023",11088
"1024",11089
"1025",1109
"1026",11090
"1027",11091
"1028",11092
"1029",11093
"1030",11094
"1031",11095
"1032",11096
"1033",11097
"1034",11098
"1035",11099
"1036",111
"1037",1110
"1038",11100
"1039",11101
"1040",11102
"1041",11103
"1042",11104
"1043",11105
"1044",11106
"1045",11107
"1046",11108
"1047",11109
"1048",1111
"1049",11110
"1050",11111
"1051",11112
"1052",11113
"1053",11114
"1054",11115
"1055",11116
"1056",11117
"1057",11118
"1058",11119
"1059",1112
"1060",11120
"1061",11121
"1062",11122
"1063",11123
"1064",11124
"1065",11125
"1066",11126
"1067",11127
"1068",11128
"1069",11129
"1070",1113
"1071",11130
"1072",11131
"1073",11132
"1074",11133
"1075",11134
"1076",11135
"1077",11136
"1078",11137
"1079",11138
"1080",11139
"1081",1114
"1082",11140
"1083",11142
"1084",11143
"1085",11144
"1086",11145
"1087",11146
"1088",11147
"1089",11148
"1090",11149
"1091",1115
"1092",11150
"1093",11151
"1094",11152
"1095",11153
"1096",11154
"1097",11155
"1098",11156
"1099",11157
"1100",11158
"1101",11159
"1102",1116
"1103",11160
"1104",11161
"1105",11162
"1106",11163
"1107",11164
"1108",11165
"1109",11167
"1110",11168
"1111",11169
"1112",1117
"1113",11170
"1114",11171
"1115",11172
"1116",11173
"1117",11175
"1118",11176
"1119",11177
"1120",11178
"1121",11179
"1122",1118
"1123",11180
"1124",11182
"1125",11183
"1126",11184
"1127",11185
"1128",11186
"1129",11187
"1130",11188
"1131",1119
"1132",11190
"1133",11191
"1134",11192
"1135",11193
"1136",11194
"1137",11195
"1138",11196
"1139",11197
"1140",11198
"1141",11199
"1142",112
"1143",1120
"1144",11200
"1145",11201
"1146",11203
"1147",11204
"1148",11205
"1149",11207
"1150",11208
"1151",11209
"1152",1121
"1153",11210
"1154",11211
"1155",11212
"1156",11213
"1157",11214
"1158",11215
"1159",11216
"1160",11217
"1161",11218
"1162",11219
"1163",1122
"1164",11220
"1165",11221
"1166",11222
"1167",11223
"1168",11224
"1169",11225
"1170",11226
"1171",11227
"1172",11228
"1173",11229
"1174",1123
"1175",11230
"1176",11231
"1177",11232
"1178",11233
"1179",11234
"1180",11235
"1181",11236
"1182",11237
"1183",11238
"1184",11239
"1185",1124
"1186",11240
"1187",11241
"1188",11242
"1189",11243
"1190",11244
"1191",11245
"1192",11246
"1193",11247
"1194",11248
"1195",11249
"1196",1125
"1197",11250
"1198",11251
"1199",11252
"1200",11253
"1201",11254
"1202",11255
"1203",11256
"1204",11257
"1205",11258
"1206",11259
"1207",1126
"1208",11260
"1209",11261
"1210",11262
"1211",11263
"1212",11264
"1213",11265
"1214",11267
"1215",11268
"1216",11269
"1217",1127
"1218",11270
"1219",11271
"1220",11272
"1221",11273
"1222",11274
"1223",11275
"1224",11276
"1225",11277
"1226",11278
"1227",11279
"1228",1128
"1229",11280
"1230",11281
"1231",11282
"1232",11283
"1233",11284
"1234",11285
"1235",11286
"1236",11287
"1237",11288
"1238",11289
"1239",1129
"1240",11290
"1241",11291
"1242",11292
"1243",11293
"1244",11294
